,Nakljucno,Casi nakljucno,CLP,Casi CLP,Lokalno iskanje,Casi lokalno
0,9,0.006675004959106445,12,0.17949604988098145,10,0.0025048255920410156
1,9,0.0031087398529052734,11,0.17586112022399902,9,0.0017790794372558594
2,7,0.003339052200317383,12,0.08682894706726074,8,0.0011548995971679688
3,10,0.003244161605834961,11,0.13088083267211914,10,0.0009627342224121094
4,8,0.003706216812133789,11,0.14403200149536133,8,0.0009369850158691406
5,8,0.003467082977294922,12,0.10751724243164062,8,0.0009748935699462891
6,9,0.0027098655700683594,12,0.10696601867675781,11,0.0009510517120361328
7,11,0.002724170684814453,12,0.09935164451599121,11,0.0009050369262695312
8,9,0.0024569034576416016,11,0.15034198760986328,9,0.0008320808410644531
9,8,0.002276897430419922,12,0.11872005462646484,8,0.0008301734924316406
10,6,0.0025930404663085938,12,0.10312795639038086,7,0.0008909702301025391
11,9,0.0025968551635742188,13,0.08719801902770996,9,0.0008189678192138672
12,7,0.002431154251098633,12,0.1090402603149414,9,0.001010894775390625
13,7,0.00237274169921875,11,0.12760615348815918,7,0.0009751319885253906
14,10,0.002675771713256836,12,0.15406322479248047,10,0.0007719993591308594
15,6,0.002447843551635742,12,0.13354277610778809,6,0.0008292198181152344
16,8,0.0028350353240966797,11,0.10873699188232422,8,0.0008137226104736328
17,9,0.002977132797241211,11,0.14927887916564941,9,0.0007648468017578125
18,7,0.0023589134216308594,12,0.09158778190612793,8,0.0008881092071533203
19,10,0.0022258758544921875,11,0.13260602951049805,10,0.0008139610290527344
20,8,0.0024073123931884766,12,0.09767818450927734,9,0.0008931159973144531
21,9,0.0023670196533203125,12,0.12138915061950684,9,0.0007441043853759766
22,8,0.0023419857025146484,12,0.12140512466430664,8,0.0008230209350585938
23,9,0.002385854721069336,11,0.1338050365447998,9,0.0008590221405029297
24,9,0.0038971900939941406,13,0.12656092643737793,9,0.0007040500640869141
25,8,0.002794981002807617,12,0.09993600845336914,8,0.0006968975067138672
26,10,0.0024292469024658203,11,0.16260027885437012,10,0.0006780624389648438
27,10,0.0025839805603027344,12,0.10547089576721191,10,0.0008261203765869141
28,10,0.002357006072998047,10,0.1916670799255371,10,0.0007658004760742188
29,9,0.0025010108947753906,11,0.15733098983764648,10,0.0007469654083251953
30,9,0.0029802322387695312,11,0.11281824111938477,9,0.0007250308990478516
31,9,0.002441883087158203,11,0.17433810234069824,9,0.000720977783203125
32,9,0.002351045608520508,11,0.11681890487670898,11,0.0008242130279541016
33,7,0.0029649734497070312,12,0.11527705192565918,7,0.0008208751678466797
34,7,0.0025758743286132812,11,0.11836695671081543,10,0.000985860824584961
35,7,0.002488851547241211,10,0.16245102882385254,7,0.0008220672607421875
36,6,0.0032989978790283203,11,0.12247586250305176,10,0.0009059906005859375
37,7,0.0024640560150146484,11,0.13640284538269043,7,0.0007159709930419922
38,6,0.002443075180053711,12,0.09805178642272949,8,0.0009279251098632812
39,8,0.002872943878173828,11,0.13440823554992676,8,0.0007150173187255859
40,10,0.0025360584259033203,12,0.11130380630493164,10,0.0006849765777587891
41,10,0.00249481201171875,12,0.08928108215332031,10,0.0007081031799316406
42,9,0.0030858516693115234,12,0.09475374221801758,10,0.0008618831634521484
43,9,0.0025560855865478516,11,0.11742591857910156,9,0.0010387897491455078
44,10,0.0022499561309814453,12,0.09312200546264648,10,0.0007259845733642578
45,8,0.0026929378509521484,12,0.11574602127075195,9,0.0007791519165039062
46,9,0.0025260448455810547,11,0.14023303985595703,10,0.000762939453125
47,7,0.002402782440185547,11,0.1288750171661377,7,0.000743865966796875
48,8,0.002704143524169922,11,0.14309120178222656,10,0.0007810592651367188
49,11,0.002416849136352539,12,0.11232304573059082,11,0.0007779598236083984
50,8,0.002337932586669922,11,0.12576794624328613,8,0.0008652210235595703
51,11,0.0028553009033203125,12,0.0992271900177002,11,0.0007250308990478516
52,8,0.00255584716796875,12,0.130385160446167,9,0.0007328987121582031
53,8,0.0026650428771972656,12,0.10277485847473145,8,0.0007617473602294922
54,7,0.0027348995208740234,11,0.14790916442871094,8,0.0009109973907470703
55,8,0.0024421215057373047,12,0.12053394317626953,8,0.0007600784301757812
56,9,0.0024535655975341797,11,0.1413099765777588,9,0.0006909370422363281
57,8,0.002716064453125,13,0.07811617851257324,9,0.0007128715515136719
58,8,0.0024518966674804688,11,0.15026092529296875,8,0.0006682872772216797
59,8,0.0021653175354003906,11,0.14150285720825195,8,0.0006902217864990234
60,11,0.0027022361755371094,12,0.1134042739868164,11,0.0007660388946533203
61,8,0.002599954605102539,12,0.10728096961975098,9,0.0008440017700195312
62,8,0.0025358200073242188,12,0.09016799926757812,9,0.0008249282836914062
63,6,0.002354860305786133,11,0.13207793235778809,11,0.00133514404296875
64,7,0.003084897994995117,12,0.1138918399810791,8,0.0007948875427246094
65,10,0.0023598670959472656,11,0.12506699562072754,10,0.0007028579711914062
66,10,0.0023338794708251953,11,0.15073800086975098,10,0.0007643699645996094
67,10,0.0027589797973632812,12,0.09648013114929199,11,0.0007319450378417969
68,9,0.0024597644805908203,11,0.18390583992004395,9,0.0006949901580810547
69,9,0.002165079116821289,12,0.12947916984558105,9,0.00067901611328125
70,7,0.0024001598358154297,12,0.11460113525390625,8,0.0006899833679199219
71,9,0.0025577545166015625,10,0.2026200294494629,9,0.0006999969482421875
72,7,0.002287149429321289,11,0.10842084884643555,9,0.0007810592651367188
73,9,0.0025882720947265625,11,0.14550232887268066,9,0.0009150505065917969
74,8,0.00269317626953125,11,0.16197609901428223,8,0.0007679462432861328
75,8,0.002518892288208008,11,0.14516687393188477,8,0.0008461475372314453
76,7,0.002608060836791992,10,0.1809232234954834,8,0.0008339881896972656
77,9,0.0032210350036621094,12,0.0926978588104248,9,0.0006930828094482422
78,7,0.002368927001953125,11,0.10822176933288574,8,0.0007569789886474609
79,7,0.0025548934936523438,10,0.171461820602417,7,0.0008561611175537109
80,8,0.0028159618377685547,12,0.08101797103881836,10,0.0008478164672851562
81,9,0.0023849010467529297,13,0.07118010520935059,10,0.0007958412170410156
82,6,0.0023407936096191406,11,0.18779277801513672,8,0.0007750988006591797
83,9,0.002947092056274414,11,0.1389157772064209,9,0.0006928443908691406
84,8,0.002306222915649414,11,0.17502522468566895,8,0.0010018348693847656
85,7,0.0023839473724365234,11,0.14369416236877441,8,0.0009658336639404297
86,8,0.0028510093688964844,12,0.08629727363586426,10,0.0009007453918457031
87,8,0.0022411346435546875,11,0.11665797233581543,9,0.0007107257843017578
88,8,0.0022089481353759766,11,0.11707329750061035,8,0.0006949901580810547
89,9,0.0028820037841796875,11,0.1688070297241211,9,0.0006971359252929688
90,7,0.0023200511932373047,11,0.1592879295349121,7,0.0006799697875976562
91,9,0.002384662628173828,12,0.11779904365539551,9,0.0007228851318359375
92,8,0.002933025360107422,11,0.1467881202697754,8,0.0006997585296630859
93,9,0.002611398696899414,11,0.13021016120910645,9,0.0007441043853759766
94,9,0.0023279190063476562,11,0.12124395370483398,9,0.0007531642913818359
95,10,0.00238800048828125,11,0.1363391876220703,10,0.0006930828094482422
96,8,0.002817869186401367,11,0.1032867431640625,8,0.0007009506225585938
97,8,0.002222776412963867,11,0.13944792747497559,8,0.0006821155548095703
98,8,0.0023877620697021484,12,0.10583710670471191,9,0.0007469654083251953
99,9,0.0027709007263183594,11,0.14209771156311035,9,0.0006849765777587891
