,Najboljsi nakljucno,Casi najboljsi nakljucno,CLP,Casi CLP,Najboljsi lokalno iskanje,Casi najboljsi lokalno iskanje,Nakljucni lokalno iskanje,Casi nakljucni lokalno iskanje
0,10,0.053434133529663086,10,0.2004539966583252,10,0.0010421276092529297,12,0.0437922477722168
1,11,0.0506289005279541,12,0.1109468936920166,11,0.0010380744934082031,12,0.035154104232788086
2,12,0.0506289005279541,13,0.09269404411315918,13,0.0010230541229248047,13,0.03551197052001953
3,12,0.04846310615539551,12,0.0804438591003418,12,0.0011098384857177734,12,0.034822940826416016
4,11,0.04847884178161621,12,0.15871477127075195,11,0.0010271072387695312,14,0.03448009490966797
5,11,0.04941105842590332,12,0.08712291717529297,11,0.0010890960693359375,14,0.03595614433288574
6,11,0.04645991325378418,12,0.10112595558166504,12,0.0009791851043701172,14,0.03346610069274902
7,10,0.0498960018157959,11,0.13820886611938477,11,0.00096893310546875,12,0.03271007537841797
8,10,0.05094099044799805,11,0.1259310245513916,10,0.0009961128234863281,13,0.032549142837524414
9,10,0.05363821983337402,12,0.08218693733215332,10,0.0010271072387695312,12,0.03409004211425781
10,10,0.05168008804321289,11,0.15257811546325684,10,0.0009870529174804688,11,0.0389251708984375
11,11,0.05482602119445801,12,0.1202397346496582,11,0.0010020732879638672,11,0.03712821006774902
12,10,0.04797005653381348,11,0.1768360137939453,10,0.0010178089141845703,13,0.03417706489562988
13,11,0.049043893814086914,11,0.16876697540283203,11,0.0010790824890136719,14,0.033663034439086914
14,11,0.04687786102294922,12,0.10360884666442871,11,0.001043081283569336,11,0.03193497657775879
15,9,0.0508730411529541,11,0.16552495956420898,9,0.00110626220703125,12,0.03365039825439453
16,9,0.050466060638427734,11,0.17720794677734375,10,0.0009491443634033203,12,0.03358888626098633
17,10,0.07212972640991211,11,0.11935210227966309,11,0.0009441375732421875,13,0.035867929458618164
18,12,0.08653903007507324,12,0.09960293769836426,12,0.0012359619140625,13,0.03501534461975098
19,11,0.07018327713012695,11,0.13942575454711914,11,0.0009710788726806641,13,0.032206058502197266
20,11,0.07086515426635742,11,0.14835786819458008,11,0.0010287761688232422,12,0.03665304183959961
21,9,0.0714728832244873,10,0.16814303398132324,9,0.0010371208190917969,12,0.03877973556518555
22,11,0.06244397163391113,12,0.08444786071777344,11,0.001068115234375,12,0.040814876556396484
23,10,0.0495450496673584,12,0.10030698776245117,11,0.0009238719940185547,12,0.03819608688354492
24,10,0.061846017837524414,11,0.14632701873779297,10,0.0011429786682128906,12,0.03579521179199219
25,11,0.06916999816894531,11,0.12196707725524902,11,0.0010333061218261719,11,0.03310394287109375
26,10,0.053404808044433594,12,0.08610272407531738,10,0.0009160041809082031,13,0.03201889991760254
27,11,0.05955386161804199,11,0.1189582347869873,11,0.0011048316955566406,12,0.03238725662231445
28,11,0.06353616714477539,13,0.05753278732299805,11,0.0010371208190917969,13,0.03353595733642578
29,10,0.07648396492004395,11,0.10547828674316406,10,0.0011169910430908203,12,0.03487682342529297
30,12,0.07210803031921387,12,0.10668635368347168,12,0.001016855239868164,14,0.040009260177612305
31,12,0.05324697494506836,12,0.12282705307006836,12,0.0010323524475097656,12,0.03393673896789551
32,10,0.056549072265625,11,0.1502840518951416,10,0.000946044921875,12,0.03274416923522949
33,11,0.06405520439147949,11,0.11301398277282715,11,0.0011630058288574219,11,0.03684592247009277
34,10,0.05339193344116211,11,0.11012506484985352,10,0.00115203857421875,12,0.034290313720703125
35,10,0.05421614646911621,11,0.13688015937805176,10,0.0010471343994140625,13,0.03314518928527832
36,11,0.04742789268493652,12,0.11913299560546875,11,0.001055002212524414,13,0.03213906288146973
37,11,0.04793977737426758,11,0.16628098487854004,11,0.0010428428649902344,11,0.03896975517272949
38,11,0.049748897552490234,12,0.11004185676574707,11,0.0009670257568359375,13,0.03403496742248535
39,10,0.05990409851074219,11,0.15500903129577637,11,0.001096963882446289,11,0.035878896713256836
40,12,0.0565340518951416,13,0.07215523719787598,12,0.001064300537109375,14,0.03412222862243652
41,10,0.057765960693359375,11,0.11647486686706543,10,0.0009961128234863281,12,0.033492088317871094
42,9,0.05769610404968262,11,0.17089486122131348,10,0.0009758472442626953,13,0.0337371826171875
43,9,0.05593299865722656,10,0.1816701889038086,10,0.0009729862213134766,13,0.03619718551635742
44,10,0.049716949462890625,11,0.15057802200317383,10,0.0010209083557128906,14,0.04476594924926758
45,10,0.04782724380493164,12,0.12321686744689941,10,0.0009479522705078125,12,0.032871246337890625
46,11,0.046753644943237305,11,0.1524190902709961,11,0.0009429454803466797,12,0.03273606300354004
47,11,0.04820871353149414,12,0.12653684616088867,11,0.001010894775390625,12,0.03294205665588379
48,10,0.05162811279296875,11,0.12526416778564453,10,0.0010809898376464844,12,0.03422093391418457
49,11,0.05138373374938965,11,0.14967870712280273,11,0.0009770393371582031,13,0.03554677963256836
50,11,0.06052970886230469,13,0.07944607734680176,13,0.0010709762573242188,13,0.0334620475769043
51,9,0.057211875915527344,12,0.08418607711791992,10,0.0009198188781738281,12,0.03594803810119629
52,10,0.06966567039489746,11,0.1465778350830078,10,0.0009970664978027344,11,0.03363823890686035
53,10,0.06117701530456543,11,0.12872314453125,10,0.0012159347534179688,12,0.034406185150146484
54,11,0.05106711387634277,11,0.14587807655334473,11,0.0010759830474853516,11,0.03384089469909668
55,11,0.0479428768157959,12,0.11498594284057617,12,0.0010030269622802734,12,0.032414913177490234
56,11,0.04884910583496094,11,0.1223609447479248,11,0.0010502338409423828,13,0.03349590301513672
57,10,0.0495908260345459,12,0.09065890312194824,11,0.0009739398956298828,11,0.03405499458312988
58,10,0.05160021781921387,11,0.1822500228881836,10,0.0010380744934082031,11,0.03569316864013672
59,9,0.05184006690979004,10,0.29330897331237793,10,0.0009150505065917969,12,0.03396725654602051
60,12,0.05698990821838379,12,0.15183401107788086,12,0.0010738372802734375,13,0.03243112564086914
61,10,0.05977225303649902,11,0.13081789016723633,11,0.0010249614715576172,13,0.03406882286071777
62,10,0.04508709907531738,12,0.14136600494384766,10,0.0008990764617919922,13,0.03199481964111328
63,12,0.04847121238708496,12,0.09544515609741211,12,0.001138925552368164,13,0.03306388854980469
